Class Name,Type,Graduate Education Hour,Additional Hour,URL
MGR Online: Body Language for Leaders,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/4ff72882-4601-49ed-871c-4cbc444bede6
MGR Online: Effective Listening,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/c5e9f431-8834-4fd2-8ec6-18a3367a4ba5
MGR Online: From Idea to Business Opportunity,Professional,1,1,https://monash.csod.com/ui/lms-learning-details/app/course/72d3889f-d4de-4b92-8f8f-cba3a646dd0e
MGR Online: Having Difficult Conversations,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/68b34454-f1d8-4ea1-9728-a0c16a4e7f18
MGR Online: Leading with Emotional Intelligence,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/48a04add-42fe-490f-833c-9781943b8716
MGR Online: Project Management Foundations: Budgets,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/b8b32a1e-09c9-4c32-9439-b3b4c71df98d
MGR Online: Project Management Foundations: Communication,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/18e13879-9270-476b-ae91-6a982e1fb5ea
MGR Online: Project Management Foundations: Integration,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/132ea443-abc9-4b9f-a246-acdaac6d9498
MGR Online: Project Management Foundations: Risk,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/a8d7295d-f247-4944-ba8c-d2204ae8d45d
MGR Online: Project Management Foundations: Stakeholders,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/0b76e4fe-08b0-4ac4-95d6-af2f4798d7d1
MGR Online: Project Management: Healthcare Projects,Professional,1,0,https://monash.csod.com/ui/lms-learning-details/app/course/a3661804-2e15-492d-975a-b5fec28c7520
MGR Online: Building The Consulting Skill Set,Professional,1.5,1,https://monash.csod.com/ui/lms-learning-details/app/course/22ee6345-cddd-4b25-b2d2-161a8e1b0a0b
MGR Online: Communicating with Confidence,Professional,1.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/7490be49-4f11-4f8d-80cd-ac90d49fbe6c
MGR Online: Communicating with Empathy,Professional,1.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/110013b1-e4d9-43a3-9723-16334d5d7b93
MGR Online: Executive Leadership,Professional,1.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/975f8307-88ea-4a38-9025-7314ab858745
MGR Online: High Performing Work Teams,Professional,1.5,1,https://monash.csod.com/ui/lms-learning-details/app/course/70f7bd78-6b80-4a03-b038-c097a10fdba8
